School Name,School Number,Closed,School Street,School City,School Zip,Grade Low,Grade High,Enrollment,School Accreditations,District Name,District Number,District Enrollment,District Street,District City,District Zip,County Name,County Number,Region Name
Primrose School of Valley Ranch,57250021,FALSE,577Cimarron Trail,Irving,75063,Pre-K,Kindergarten,179,COGNIA : 2001,COPPELL ISD,57922,10999,200 S DENTON TAP RD,COPPELL,75019-3205,Dallas,57,10
Primrose School of Wellington,57251022,FALSE,2708 Flower Mound Rd,Flower Mound,75022,Pre-K,Kindergarten,157,COGNIA : 2005,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of West Allen,57252023,FALSE,106 Tatum Dr,Allen,75013,Pre-K,Kindergarten,177,COGNIA : 2001,ALLEN ISD,43901,19894,P O BOX 13,ALLEN,75013-0013,Dallas,57,10
Primrose School of West Carrollton,57253024,FALSE,4028 Nazarene Dr.,Carrollton,75010,Pre-K,Kindergarten,176,COGNIA : 2005,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Prince of Peace Christian School - Carrollton,57151101,FALSE,4004 N Midway Rd,Carrollton,75007,Pre-K,12,810,LSAC : 1990 | COGNIA : 2004 | LSAC : 2022 | COGNIA : 2022,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Providence Academy (NAUMS),57620001,FALSE,1388 State Highway 205,Rockwall,75032,Pre-K,12,73,COGNIA : 2016,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Providence Christian School of Texas,57134402,FALSE,5002 W. Lovers Lane,Dallas,75209,Pre-K,8,456,TAAPS : 2008,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Qalam Collegiate Academy,57110001,FALSE,1625 Ferris Rd.,Garland,75044,5,12,447,COGNIA : 2015,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Queen of All Saints Academy,57635001,FALSE,6019 Oakcrest Rd,Dallas,75248,Kindergarten,12,25,WASC : 2021,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Radiant STEM Academy,57300001,FALSE,2001 W Walnut Hill Ln,Irving,75038,Pre-K,12,470,COGNIA : 2017,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
Redeemer Montessori School,57113001,FALSE,2700 Warren Circle,Irving,75062,Pre-K,6,0,COGNIA : 2011 | AMS : 2025,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
Resolute Academy,57340001,FALSE,"2626 Cole Avenue, Ste. 300",Dallas,75204,9,12,778,ACTS : 2018 | MSA : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Rising Aviation High School,57610001,FALSE,15502 Wright Brothers Drive,Addison,75001,9,12,0,MSA : 2021,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Rowlett Christian Academy,57143001,TRUE,8200 Schrade Rd,Rowlett,75088,2,,0,ACTS : 1997,,,0,,,,Dallas,57,
Saint James Episcopal School - Dallas,57200101,FALSE,9845 McCree Road,Dallas,75238,Pre-K,Kindergarten,188,SAES : 1999 | SAES : 2009 | SAES : 2020,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Saint Michael Episcopal School - Dallas,57360001,FALSE,4344 Colgate Avenue,Dallas,75225,Pre-K,Kindergarten,330,SAES : 2019,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Salam Academy,57275001,FALSE,735 N Plano Rd,Richardson,75081,Pre-K,12,250,COGNIA : 2014,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Santa Clara of Assisi Catholic Academy,57100139,FALSE,4550 West Davis Street,Dallas,75211,Pre-K,8,171,TCCB ED : 1994,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Scofield Christian School,57119001,FALSE,7730 Abrams Rd,Dallas,75231,Early Education,6,269,ACSI : 1985,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Southwest Christian Academy,57178101,FALSE,611 N. Cedar Ridge,Duncanville,75116,Pre-K,10,56,TSDA : 1979,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Spanish World School - Grand,57320001,FALSE,7159 E. Grand Ave,Dallas,75223,Kindergarten,5,150,COGNIA : 2017 | COGNIA : 2018,COPPELL ISD,57922,10999,200 S DENTON TAP RD,COPPELL,75019-3205,Dallas,57,10
SPLASH MEDIA,57137001,TRUE,5010 ADDISON CIRCLE,ADDISON,75001,Kindergarten,12,0,COGNIA : 2014,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Andrew's Episcopal School Grand Prairie,57257101,TRUE,727 Hill St,Grand Prairie,75050,2,8,0,TAAPS : 2001,,,0,,,,Dallas,57,
St. Augustine Catholic School - Dallas,57100114,TRUE,1054 N St. Augustine Dr,Dallas,75217,Pre-K,8,134,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Bernard of Clairvaux School,57100115,FALSE,1420 Old Gate Ln,Dallas,75218,Pre-K,8,195,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Cecilia Catholic School - Dallas,57100116,FALSE,635 Mary Cliff Rd,Dallas,75208,Pre-K,8,215,TCCB ED : 1969,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Elizabeth of Hungary Catholic School,57100117,FALSE,4019 S Hampton Rd,Dallas,75224,Pre-K,8,264,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. John School Ennis,57100006,TRUE,701 S Paris St,Ennis,75119,Kindergarten,12,0,TCCB ED : 1957,,,0,,,,Dallas,57,
St. John's Episcopal School - Dallas,57131101,FALSE,848 Harter Rd,Dallas,75218,Pre-K,8,506,ISAS : 1982 | SAES : 1985 | ISAS : 1992 | ISAS : 2003 | ISAS : 2012 | SAES : 2013 | ISAS : 2024 | SAES : 2024,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Joseph Catholic School - Richardson,57100141,FALSE,600 South Jupiter Rd.,Richardson,75081,Pre-K,8,295,TCCB ED : 1969,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
St. Luke School - Irving,57100121,TRUE,1023 Schulze Dr,Irving,75060,Pre-K,8,128,TCCB ED : 1965,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
St. Mark's School of Texas,57139001,FALSE,10600 Preston Rd,Dallas,75230,1,12,924,ISAS : 1955 | ISAS : 1988 | ISAS : 1998 | ISAS : 2009 | ISAS : 2019,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Mary of Carmel School - Dallas,57100122,FALSE,1716 Singleton BLVD,Dallas,75212,Pre-K,8,153,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Monica Catholic School - Dallas,57100125,FALSE,4140 Walnut Hill Ln,Dallas,75229,Pre-K,8,750,TCCB ED : 1972,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
