,OBJECTID,Name,Tuition,Enrollment,PreK,Total,Address,City,State,Zip,County,Latitude,Longitude,GeoScore,GeoAddress,GeoRank,Grades,GlobalID,geometry,Voucher
355,356,ST RITA SCHOOL,8150,633,32,714,12525 INWOOD RD,DALLAS,TX,75244,DALLAS,32.9197266344,-96.8186100681,100.0,"12525 Inwood Rd, Dallas, Texas, 75244",20.0,Pre-K-8,{D9FFBECC-650C-41F9-B071-6B054976CF11},POINT (-96.8186100681 32.9197266344),1
356,358,STONEGATE CHRISTIAN ACADEMY,0,129,9,138,1705 ESTERS RD,IRVING,TX,75061,DALLAS,32.82973888,-97.0102729914,100.0,"1705 Esters Rd, Irving, Texas, 75061",20.0,,{EA63E8CA-7FB5-418A-B5F7-6326E8EA6B88},POINT (-97.0102729914 32.82973888),1
361,363,THE KESSLER SCHOOL,0,79,42,121,1215 TURNER AVE,DALLAS,TX,75208,DALLAS,32.7601933073,-96.8391285263,100.0,"1215 Turner Ave, Dallas, Texas, 75208",20.0,,{D3C83690-E008-4DE7-9193-B336F9B45C5F},POINT (-96.8391285263 32.7601933073),1
363,365,THE ST ANTHONY SCHOOL,0,80,0,80,2030 DENTON DR,CARROLLTON,TX,75006,DALLAS,32.9701396138,-96.9072662745,100.0,"2030 Denton Dr, Carrollton, Texas, 75006",20.0,,{CA71DF6F-35D3-44F6-8146-BD4012FE2750},POINT (-96.9072662745 32.9701396138),1
365,367,THE WESTWOOD SCHOOL,0,211,42,253,14340 PROTON RD,DALLAS,TX,75244,DALLAS,32.9446429959,-96.8367025521,100.0,"14340 Proton Rd, Dallas, Texas, 75244",20.0,,{E6A86B8D-6A07-41AE-B383-5D64D6C792EF},POINT (-96.8367025521 32.9446429959),1
367,369,TRINITY CHRISTIAN ACADEMY,19680,1376,54,1509,17001 ADDISON RD,ADDISON,TX,75001,DALLAS,32.9841790921,-96.8301962674,100.0,"17001 Addison Rd, Addison, Texas, 75001",20.0,Pre-K-12,{85B627C5-0D5E-4CD8-A7D6-1832DD8C2DE2},POINT (-96.8301962674 32.9841790921),1
371,373,VANGUARD PREPARATORY SCHOOL,0,93,0,93,4240 SIGMA RD,DALLAS,TX,75244,DALLAS,32.937053015,-96.8372277621,100.0,"4240 Sigma Rd, Dallas, Texas, 75244",20.0,,{BB41C796-6E38-4C0B-815F-0E1CCDE45BBA},POINT (-96.8372277621 32.937053015),1
372,374,URSULINE ACADEMY OF DALLAS,21000,863,0,850,4900 WALNUT HILL LN,DALLAS,TX,75229,DALLAS,32.8800418281,-96.8238416991,100.0,"4900 Walnut Hill Ln, Dallas, Texas, 75229",20.0,9-12,{21FD714C-FC8D-4647-87BB-68AD55C69579},POINT (-96.8238416991 32.8800418281),1
377,379,WEST DALLAS COMMUNITY SCHOOL,0,229,29,258,2300 CANADA DR,DALLAS,TX,75212,DALLAS,32.7926025227,-96.8596429829,100.0,"2300 Canada Dr, Dallas, Texas, 75212",20.0,,{CD295298-EEB3-434E-ABE4-AD9B7B8842C2},POINT (-96.8596429829 32.7926025227),1
378,380,WESLEYAN ACADEME,0,17,91,108,1615 W AIRPORT FWY,IRVING,TX,75062,DALLAS,32.8374254624,-96.9670495284,100.0,"1615 W Airport Fwy, Irving, Texas, 75062",20.0,,{CDA29391-31D8-460D-800E-CB99867E4E5E},POINT (-96.9670495284 32.8374254624),1
380,382,YAVNEH ACADEMY OF DALLAS,0,107,0,107,12324 MERIT DR,DALLAS,TX,75251,DALLAS,32.9154448458,-96.7719117816,100.0,"12324 Merit Dr, Dallas, Texas, 75251",20.0,,{C3EE7D0D-9DD2-4152-9837-90A886C54C76},POINT (-96.7719117816 32.9154448458),1
381,383,WHITE ROCK MONTESSORI,0,140,29,169,1601 OATES DR,DALLAS,TX,75228,DALLAS,32.8218254833,-96.6874399673,100.0,"1601 Oates Dr, Dallas, Texas, 75228",20.0,,{1B65D748-1A18-46F4-8C35-F340B2F1B47D},POINT (-96.6874399673 32.8218254833),1
382,384,WHITE ROCK NORTH SCHOOL,0,37,325,362,9727 WHITE ROCK TRL,DALLAS,TX,75238,DALLAS,32.8794130976,-96.7293760538,100.0,"9727 White Rock Trl, Dallas, Texas, 75238",20.0,,{685CE726-FCA3-4EAB-AB09-4CC46DDA3BBF},POINT (-96.7293760538 32.8794130976),1
383,385,ZION LUTHERAN SCHOOL,0,166,100,266,6121 E LOVERS LN,DALLAS,TX,75214,DALLAS,32.8510198197,-96.7589449774,100.0,"6121 E Lovers Ln, Dallas, Texas, 75214",20.0,,{3C453CBD-824A-4C75-9E15-789FA1051BA3},POINT (-96.7589449774 32.8510198197),1
812,814,BISHOP LYNCH HIGH SCHOOL,16100,1060,0,1060,9450 FERGUSON RD,DALLAS,TX,75228,DALLAS,32.8183925,-96.6822397,0.0, ,0.0,9-12,{D3C83130-C233-48B9-882C-D70D69C3F045},POINT (-96.6822397 32.8183925),1
813,815,DALLAS INTERNATIONAL SCHOOL,22750,0,0,654,6039 CURCHHILL WAY,DALLAS,TX,75230,DALLAS,32.9173799,-96.8020129,0.0, ,0.0,Pre-K-12,{59BB4646-D37D-455B-B52A-6AFD52295A26},POINT (-96.8020129 32.9173799),1
